wave,m1,m2,m3,m4,m5,m6,s1,s2,s3,s4,s5,s6,t1,t2,t3,t4,t5,t6,date
1250,13.0933333333333,12.2766666666667,14.3666666666667,15.9433333333333,11.1166666666667,14.7166666666667,9.48,11.9166666666667,8.97333333333333,11.07,7.73333333333333,9.40333333333333,27.9333333333333,23.44,19.43,8.03333333333333,19.16,12.9533333333333,2016-05-03
1260,13.2166666666667,12.3666666666667,14.4566666666667,16.0533333333333,11.19,14.85,9.51666666666667,11.9666666666667,9.03333333333333,11.12,7.77,9.46333333333333,28.1566666666667,23.6666666666667,19.6466666666667,8.13333333333333,19.3533333333333,13.0733333333333,2016-05-03
1270,13.29,12.405,14.53,16.12,11.22,14.935,9.57,11.99,9.05,11.16,7.78,9.47,28.315,23.78,19.75,8.18,19.52,13.145,2016-05-03
1280,13.2766666666667,12.3866666666667,14.4733333333333,16.0766666666667,11.19,14.92,9.57666666666667,11.96,9.06,11.1366666666667,7.75333333333333,9.46,28.31,23.7133333333333,19.73,8.19666666666667,19.5033333333333,13.13,2016-05-03
1290,13.1666666666667,12.3,14.29,15.9466666666667,11.0533333333333,14.8233333333333,9.51666666666667,11.88,9,11.01,7.65666666666667,9.34666666666667,28.0533333333333,23.44,19.6,8.19,19.3933333333333,13.0133333333333,2016-05-03
1300,13.01,12.155,14.065,15.78,10.875,14.685,9.4,11.73,8.885,10.825,7.52,9.19,27.645,23.045,19.405,8.165,19.25,12.84,2016-05-03
1310,12.77,11.91,13.7,15.5233333333333,10.58,14.4266666666667,9.20333333333333,11.4766666666667,8.66333333333333,10.55,7.30666666666667,8.93,26.98,22.4233333333333,19.0733333333333,8.08,19.0333333333333,12.5533333333333,2016-05-03
1320,12.3333333333333,11.5133333333333,13.1033333333333,15.0433333333333,10.13,13.98,8.90333333333333,11.1066666666667,8.37666666666667,10.1266666666667,7,8.58333333333333,25.8833333333333,21.39,18.4666666666667,7.93666666666667,18.5033333333333,12.0933333333333,2016-05-03
1330,11.97,11.135,12.61,14.665,9.69,13.65,8.61,10.73,8.015,9.735,6.7,8.225,24.825,20.44,17.955,7.77,18.17,11.645,2016-05-03
1340,11.4933333333333,10.8933333333333,12.0166666666667,14.03,9.42,13.13,8.43333333333333,10.6066666666667,8.02333333333333,9.43666666666667,6.59333333333333,8.20333333333333,23.7433333333333,19.4766666666667,17.3166666666667,7.64,17.09,11.2466666666667,2016-05-03
